gene_symbol,TCGA-BH-A1FC,TCGA-AC-A2FM,TCGA-BH-A0DO,TCGA-E2-A1BC,TCGA-BH-A0BJ,TCGA-E2-A1LH,TCGA-BH-A1FB,TCGA-BH-A18M,TCGA-BH-A0BM,TCGA-E2-A153,TCGA-B6-A0RH,TCGA-BH-A1FU,TCGA-AR-A0TX,TCGA-A1-A0SE,TCGA-OL-A5D6,TCGA-E2-A1IK,TCGA-AN-A0FT,TCGA-A2-A3KD,TCGA-A2-A0EO,TCGA-A2-A04P
CALR,492.876,727.1286,477.3683,249.0315,712.0651,617.3764,459.7657,559.4728,541.243,685.4718,1652.1466,709.4108,1118.5701,908.6559,1245.1231,1190.908,703.0672,2137.5205,688.1101,625.5241
LAPTM4A,996.3579,1008.4434,947.029,738.8705,1111.7967,943.2465,934.2272,992.6678,989.1704,789.1344,1221.9529,1027.3389,1047.4252,1378.629,893.653,1012.2519,518.4279,1193.5455,989.4726,497.4315
RPS25,1380.1459,1737.5003,2085.1719,2004.5739,2805.6998,1714.863,1540.4392,1123.8129,2137.7642,992.1112,1440.9532,1446.9724,784.6679,1105.4376,801.7326,1335.4766,437.671,505.2167,1305.9083,508.6447
RPL12,888.3874,2107.8281,1892.6368,1052.6966,1818.7306,1239.7135,1229.4049,744.84,1884.7894,905.9195,1462.6075,960.2184,652.27,1480.9609,979.3211,1390.2404,759.6971,866.61,840.5536,1155.9811
S100A9,116.4731,962.5121,44.2427,37.7823,159.6617,107.4387,174.7139,215.4567,303.4465,293.6563,727.8899,366.3891,317.6082,12.3262,3497.7201,56.8264,75.2472,46.9298,61.5188,100.2103
RPL11,1180.1163,1937.9493,2040.4378,2268.9055,2311.8217,1677.1752,1364.9118,1160.7751,2204.094,961.7557,1403.4807,1308.3267,752.9832,1459.3371,767.671,1187.7156,598.8184,784.4562,1105.1069,559.1596
APOD,2452.8078,3049.1861,2002.3144,1710.3816,1410.3842,1146.4476,6287.0522,1431.5968,563.1697,17043.7021,62.8397,505.1521,604.1952,1239.4343,36718.3046,77.4039,2216.3694,1296.1063,257.724,10.3476
PPDPF,696.8958,1538.7909,599.3402,389.9983,518.6351,793.0894,584.2097,404.373,787.1127,584.3963,2581.2317,594.1454,1403.4551,878.5523,1590.8104,1215.5816,1019.9496,1027.6288,352.5412,283.2542
LUM,583.9255,447.2218,429.3991,160.8012,883.3098,85.2655,353.2095,954.1345,67.5821,632.5801,1198.2779,1411.6074,881.4327,1289.2358,1111.3016,138.7513,696.229,322.5347,1643.6045,345.0165
MAGED2,510.9979,923.5655,381.2981,97.4694,526.4549,875.4845,650.3862,576.4697,499.5075,350.0996,623.3444,676.5749,573.8292,1467.0263,1038.055,2459.8804,398.1958,979.6338,505.6917,121.1373
HSPA8,745.217,835.5261,560.6842,280.7703,1194.8119,670.5397,838.6648,833.7756,659.8743,628.1373,525.7033,1555.1261,1585.076,944.8335,623.4759,1285.3179,81.0564,969.8078,629.0677,71.4046
SLC25A6,702.3829,1910.0334,1313.0916,2080.5374,1450.1659,1323.1936,819.609,905.2088,1255.8968,1090.0364,1038.785,1270.8935,1348.8447,1008.338,1518.3697,798.981,308.289,799.5044,687.5455,458.7182
SFRP2,614.7614,546.8013,309.5244,34.0619,1161.5866,101.3868,320.2876,941.187,66.7988,402.0762,1240.8594,1716.1062,711.7783,1443.4375,1387.0713,152.0922,743.6044,365.4266,2214.3943,177.2222
LTF,550.7941,1010.6879,1714.1529,29.0877,2379.2951,3887.7707,857.773,374.1708,895.5591,2697.6563,267.1678,106.4484,27.3438,374.8292,12617.1931,892.0122,1.8144,286.0286,406.2859,463.5667
RPL29,948.7229,1819.4439,1556.3323,1550.8088,1285.1534,1289.1097,1038.3707,850.3089,1441.4561,814.0122,1329.5157,742.4828,406.0369,1379.0167,1031.8872,924.2044,981.7932,771.8628,1233.4338,681.8028
ATP5F1B,766.2314,815.0931,782.2426,1111.8534,912.1689,791.4215,735.3145,813.4527,760.5072,714.9779,824.2685,829.1203,1303.6687,888.697,915.4527,1056.4037,361.5692,768.3824,630.779,178.8146
MARCKSL1,366.1311,777.5412,405.5203,17.3124,686.824,601.2174,434.2997,306.2119,518.8129,768.6623,1685.6081,946.0759,1337.1886,1571.0774,797.2769,379.5944,927.1769,574.8445,1098.7412,997.8929
IGFBP5,403.6936,185.4536,294.2119,608.4488,448.07,278.1191,317.4408,549.9257,304.2524,346.2925,264.8996,736.5827,248.9804,353.5397,371.7044,50.4093,2204.4059,107.9593,1213.9666,234.2162
MYL12B,857.9034,1092.4355,649.9741,330.9907,946.5787,909.7817,643.9991,721.5132,813.3508,715.9264,850.3522,979.2224,527.2619,1123.7905,490.9301,837.9764,1370.3521,742.0061,918.7118,488.8138
PEBP1,987.1316,1245.5556,910.3985,791.3131,904.2925,1107.0735,806.908,832.6126,921.1012,744.5281,1304.6391,485.2541,606.57,606.6255,764.1967,1234.5973,589.8195,748.8005,781.0466,463.8053
RPL27,990.4971,1512.7258,1222.4663,1405.28,1195.4923,966.3437,902.5084,760.4885,1277.0443,648.4449,755.3656,680.5914,448.0765,1004.6611,485.307,948.2377,575.6555,571.3266,1211.3171,369.2336
RPL35,765.5017,1999.5284,962.4766,1314.0144,1000.3558,1044.8991,776.5285,652.1659,1244.9812,574.0378,1252.3201,705.2089,540.9515,945.7616,778.7683,884.3489,1060.7765,579.7489,936.0179,1895.0935
CD63,788.5923,1197.2651,521.4937,1003.3861,791.2218,627.8094,560.012,706.9799,682.3556,634.4263,557.0296,573.9138,1025.4236,1003.9886,696.6414,922.4063,1106.7334,1177.6788,1016.0508,501.8145
